w,o,h,l,v,q
337.46153864,334.50000000,347.80000000,330.10000000,533271.76000000,179958708.64130000
337.46188829,334.60000000,347.80000000,330.10000000,533213.99600000,179939401.95130000
337.46153864,334.50000000,347.80000000,330.10000000,533271.76000000,179958708.64130000
337.46188829,334.60000000,347.80000000,330.10000000,533213.99600000,179939401.95130000
337.46190174,334.50000000,347.80000000,330.10000000,533211.95600000,179938720.70190000
337.46153864,334.50000000,347.80000000,330.10000000,533271.76000000,179958708.64130000
337.46153864,334.50000000,347.80000000,330.10000000,533271.76000000,179958708.64130000
337.46188829,334.60000000,347.80000000,330.10000000,533213.99600000,179939401.95130000
337.46190174,334.50000000,347.80000000,330.10000000,533211.95600000,179938720.70190000
337.46191974,334.60000000,347.80000000,330.10000000,533211.92200000,179938718.82730000
337.46223866,334.60000000,347.80000000,330.10000000,533228.62800000,179944526.52480000
337.46228823,334.60000000,347.80000000,330.10000000,533230.93800000,179945332.49230000
337.46304489,334.60000000,347.80000000,330.10000000,533273.69100000,179960163.52230000
337.46313228,334.50000000,347.80000000,330.10000000,533271.51200000,179959474.79720000
337.46453441,334.60000000,347.80000000,330.10000000,533349.92500000,179986684.11520000
337.46457696,334.50000000,347.80000000,330.10000000,533351.51900000,179987244.72820000
337.46462962,334.50000000,347.80000000,330.10000000,533349.14800000,179986472.68590000
337.46466217,334.50000000,347.80000000,330.10000000,533350.97100000,179987105.24890000
337.46153864,334.50000000,347.80000000,330.10000000,533271.76000000,179958708.64130000
337.46188829,334.60000000,347.80000000,330.10000000,533213.99600000,179939401.95130000
337.46190174,334.50000000,347.80000000,330.10000000,533211.95600000,179938720.70190000
337.46191974,334.60000000,347.80000000,330.10000000,533211.92200000,179938718.82730000
337.46223866,334.60000000,347.80000000,330.10000000,533228.62800000,179944526.52480000
337.46228823,334.60000000,347.80000000,330.10000000,533230.93800000,179945332.49230000
337.46304489,334.60000000,347.80000000,330.10000000,533273.69100000,179960163.52230000
337.46313228,334.50000000,347.80000000,330.10000000,533271.51200000,179959474.79720000
337.46453441,334.60000000,347.80000000,330.10000000,533349.92500000,179986684.11520000
337.46457696,334.50000000,347.80000000,330.10000000,533351.51900000,179987244.72820000
337.46462962,334.50000000,347.80000000,330.10000000,533349.14800000,179986472.68590000
337.46466217,334.50000000,347.80000000,330.10000000,533350.97100000,179987105.24890000
337.46472296,334.50000000,347.80000000,330.10000000,533353.48100000,179987984.70680000
