w,o,h,l,v,q
2092.40048045,2098.23000000,2108.98000000,2072.72000000,265789.51660000,556138112.23140400
2092.40047205,2098.22000000,2108.98000000,2072.72000000,265789.72350000,556138542.91843800
2092.40048045,2098.23000000,2108.98000000,2072.72000000,265789.51660000,556138112.23140400
2092.40047205,2098.22000000,2108.98000000,2072.72000000,265789.72350000,556138542.91843800
2092.40044768,2098.23000000,2108.98000000,2072.72000000,265788.61050000,556136207.59920100
2092.40048045,2098.23000000,2108.98000000,2072.72000000,265789.51660000,556138112.23140400
2092.40047205,2098.22000000,2108.98000000,2072.72000000,265789.72350000,556138542.91843800
2092.40044768,2098.23000000,2108.98000000,2072.72000000,265788.61050000,556136207.59920100
2092.40042521,2098.22000000,2108.98000000,2072.72000000,265787.63450000,556134159.44332900
2092.40048045,2098.23000000,2108.98000000,2072.72000000,265789.51660000,556138112.23140400
2092.40047205,2098.22000000,2108.98000000,2072.72000000,265789.72350000,556138542.91843800
2092.40044768,2098.23000000,2108.98000000,2072.72000000,265788.61050000,556136207.59920100
2092.40042521,2098.22000000,2108.98000000,2072.72000000,265787.63450000,556134159.44332900
2092.40042512,2098.22000000,2108.98000000,2072.72000000,265787.64070000,556134172.39140900
2092.40048045,2098.23000000,2108.98000000,2072.72000000,265789.51660000,556138112.23140400
2092.40047205,2098.22000000,2108.98000000,2072.72000000,265789.72350000,556138542.91843800
2092.40044768,2098.23000000,2108.98000000,2072.72000000,265788.61050000,556136207.59920100
2092.40042521,2098.22000000,2108.98000000,2072.72000000,265787.63450000,556134159.44332900
2092.40042512,2098.22000000,2108.98000000,2072.72000000,265787.64070000,556134172.39140900
2092.40042285,2098.23000000,2108.98000000,2072.72000000,265787.53720000,556133955.22483400
2092.40048045,2098.23000000,2108.98000000,2072.72000000,265789.51660000,556138112.23140400
2092.40047205,2098.22000000,2108.98000000,2072.72000000,265789.72350000,556138542.91843800
2092.40044768,2098.23000000,2108.98000000,2072.72000000,265788.61050000,556136207.59920100
2092.40042521,2098.22000000,2108.98000000,2072.72000000,265787.63450000,556134159.44332900
2092.40042512,2098.22000000,2108.98000000,2072.72000000,265787.64070000,556134172.39140900
2092.40042285,2098.23000000,2108.98000000,2072.72000000,265787.53720000,556133955.22483400
2092.40041801,2098.22000000,2108.98000000,2072.72000000,265787.55710000,556133995.57918800
2092.40048045,2098.23000000,2108.98000000,2072.72000000,265789.51660000,556138112.23140400
2092.40047205,2098.22000000,2108.98000000,2072.72000000,265789.72350000,556138542.91843800
2092.40044768,2098.23000000,2108.98000000,2072.72000000,265788.61050000,556136207.59920100
2092.40042521,2098.22000000,2108.98000000,2072.72000000,265787.63450000,556134159.44332900
2092.40042512,2098.22000000,2108.98000000,2072.72000000,265787.64070000,556134172.39140900
2092.40042285,2098.23000000,2108.98000000,2072.72000000,265787.53720000,556133955.22483400
2092.40041801,2098.22000000,2108.98000000,2072.72000000,265787.55710000,556133995.57918800
2092.40041010,2098.23000000,2108.98000000,2072.72000000,265787.36450000,556133590.47895700
2092.40048045,2098.23000000,2108.98000000,2072.72000000,265789.51660000,556138112.23140400
2092.40047205,2098.22000000,2108.98000000,2072.72000000,265789.72350000,556138542.91843800
2092.40044768,2098.23000000,2108.98000000,2072.72000000,265788.61050000,556136207.59920100
2092.40042521,2098.22000000,2108.98000000,2072.72000000,265787.63450000,556134159.44332900
2092.40042512,2098.22000000,2108.98000000,2072.72000000,265787.64070000,556134172.39140900
2092.40042285,2098.23000000,2108.98000000,2072.72000000,265787.53720000,556133955.22483400
2092.40041801,2098.22000000,2108.98000000,2072.72000000,265787.55710000,556133995.57918800
2092.40041010,2098.23000000,2108.98000000,2072.72000000,265787.36450000,556133590.47895700
2092.40039987,2098.23000000,2108.98000000,2072.72000000,265786.89810000,556132611.86448500
2092.40048045,2098.23000000,2108.98000000,2072.72000000,265789.51660000,556138112.23140400
2092.40047205,2098.22000000,2108.98000000,2072.72000000,265789.72350000,556138542.91843800
2092.40044768,2098.23000000,2108.98000000,2072.72000000,265788.61050000,556136207.59920100
2092.40042521,2098.22000000,2108.98000000,2072.72000000,265787.63450000,556134159.44332900
2092.40042512,2098.22000000,2108.98000000,2072.72000000,265787.64070000,556134172.39140900
2092.40042285,2098.23000000,2108.98000000,2072.72000000,265787.53720000,556133955.22483400
2092.40041801,2098.22000000,2108.98000000,2072.72000000,265787.55710000,556133995.57918800
2092.40041010,2098.23000000,2108.98000000,2072.72000000,265787.36450000,556133590.47895700
2092.40039987,2098.23000000,2108.98000000,2072.72000000,265786.89810000,556132611.86448500
2092.40036963,2098.23000000,2108.98000000,2072.72000000,265785.51940000,556129719.03478400
2092.40048045,2098.23000000,2108.98000000,2072.72000000,265789.51660000,556138112.23140400
2092.40047205,2098.22000000,2108.98000000,2072.72000000,265789.72350000,556138542.91843800
2092.40044768,2098.23000000,2108.98000000,2072.72000000,265788.61050000,556136207.59920100
2092.40042521,2098.22000000,2108.98000000,2072.72000000,265787.63450000,556134159.44332900
2092.40042512,2098.22000000,2108.98000000,2072.72000000,265787.64070000,556134172.39140900
2092.40042285,2098.23000000,2108.98000000,2072.72000000,265787.53720000,556133955.22483400
2092.40041801,2098.22000000,2108.98000000,2072.72000000,265787.55710000,556133995.57918800
2092.40041010,2098.23000000,2108.98000000,2072.72000000,265787.36450000,556133590.47895700
2092.40039987,2098.23000000,2108.98000000,2072.72000000,265786.89810000,556132611.86448500
2092.40036963,2098.23000000,2108.98000000,2072.72000000,265785.51940000,556129719.03478400
2092.40036376,2098.22000000,2108.98000000,2072.72000000,265785.25140000,556129156.71148500
2092.40025933,2098.22000000,2108.98000000,2072.72000000,265780.48190000,556119149.25113900
2092.40048045,2098.23000000,2108.98000000,2072.72000000,265789.51660000,556138112.23140400
2092.40047205,2098.22000000,2108.98000000,2072.72000000,265789.72350000,556138542.91843800
2092.40044768,2098.23000000,2108.98000000,2072.72000000,265788.61050000,556136207.59920100
2092.40042521,2098.22000000,2108.98000000,2072.72000000,265787.63450000,556134159.44332900
2092.40042512,2098.22000000,2108.98000000,2072.72000000,265787.64070000,556134172.39140900
2092.40042285,2098.23000000,2108.98000000,2072.72000000,265787.53720000,556133955.22483400
2092.40041801,2098.22000000,2108.98000000,2072.72000000,265787.55710000,556133995.57918800
2092.40041010,2098.23000000,2108.98000000,2072.72000000,265787.36450000,556133590.47895700
2092.40039987,2098.23000000,2108.98000000,2072.72000000,265786.89810000,556132611.86448500
2092.40036963,2098.23000000,2108.98000000,2072.72000000,265785.51940000,556129719.03478400
2092.40036376,2098.22000000,2108.98000000,2072.72000000,265785.25140000,556129156.71148500
2092.40025933,2098.22000000,2108.98000000,2072.72000000,265780.48190000,556119149.25113900
2092.40022816,2098.23000000,2108.98000000,2072.72000000,265779.05910000,556116163.90024500
